MODULE,MODULE_TITLE,MODULE_TYPE
LL2A10,Arabic Extra (Continuation),3
LL2A20,Chinese Extra (Continuation),3
LL2A9,Chinese for Heritage Students,3
LL2A90,Chinese for Heritage Students,3
LL2B1,Chinese Beginners (Extra),3
LL2B10,Chinese Beginners (Extra),NA
LL2B2,Italian beginners,3
LL2B20,Italian beginners accelerated,3
LL2B30,Chinese Foundational Reading Writing,3
LL2B40,Italian Intermediate Accelerated,3
LL2B50,Chinese Foundational Literacy and Oracy,3
LL2B80,Russian Beginners (Extra),NA
LL2C40,Korean Beginners Accelerated,NA
LL3070,French Language of Contemporary France,3
LL3080,French Language for Enterprise,3
LL3090,Spanish Language through Contemporary Hispanic Culture,3
LL3110,Spanish for Enterprise,3
LL3120,Spanish for Business 3,3
LL3120,Spanish for International Business 4,3
LL3130,Chinese 6 for Business,3
LL3160,Chinese Advanced Reading and Writing,3
LL3240,Portuguese (Advanced),3
LL3270,Chinese Advanced Literacy and Oracy,3
MA1060,Linear Algebra,3
MA1120,Experimental Mathematics,1
MA1170,Programming for Scientists,1
MA1240,Mathematics by Computer,1
MA1250,Introduction to Geometry,1
MA1310,Analysis,4
MA1320,Foundations,4
MA1330,Differential Equations,1
MA134,Geometry and Motion,1
MA1340,Geometry and Motion,1
MA1360,Introduction to Abstract Algebra,1
MA2130,Second Year Essay,3
MA2220,Metric Spaces,1
MA2250,Differentiation,1
MA2310,Vector Analysis,1
MA2410,Combinatorics,1
MA2440,Analysis III,1
MA2490,Algebra II: Groups and Rings,1
MA2500,Partial Differential Equations,NA
MA2510,Algebra I: Advanced Linear Algebra,1
MA2520,Combinatorial Optimisation,1
MA2540,Theory of ODE's,4
MA2570,Introduction to Number Theory,1
MA2590,Multivariable Calculus,1
MA2600,Norms Metrics and Topologies,1
MA2600,"Norms, Metrics and Topologies",NA
PH1230,Elements of Scientific Method,1
PH1360,Logic 1,1
PH1360,Logic 1: Introduction to Symbolic Logic,NA
PH1410,Issues In Philosophy,2
PH142,Central Themes in Philosophy,2
PH1430,"Existence, Experience, History: Key Topics in Continental Philosophy",2
PH1440,Mind & Reality,2
PH148,"Philosophy for the Real World: Knowledge, Ignorance and Bullshit",2
PH2110,Ethics 1,2
PH2120,Ethics 2,2
PH2520,Epistemology,2
PH3290,"Truth, Consequence and Paradox",2
PH3560,"Post-Kantian Social and Political Philosophy: Hegel and Marx
            Module:
Post-Kantian Soci",NA
PH3580,Feminism,2
PH3700,Montaigne's Essays,NA
PH3810,Philosophy of Emotions,2
PH382,Democracy & Authority,NA
PH3A60,Introduction to Chinese Philosophy,NA
PH3A90,Philosophy of Nature,NA
PO1310,World Politics,2
PO1320,Contemporary Themes in Comparative Politics,2
PO1330,Foundations of Political Economy,4
PO1340,"Justice, Democracy and Citizenship",2
PO1350,Nine Ideas in International Security,2
