MODULE,MODULE_TITLE,MODULE_TYPE,,,,,,,
EC1230,Mathematical Techniques B,1,,,,,,,
EC1310,Economics for Business,1,,,,,,,
EC1320,The Industrial Economy: Strategy,1,,,,,,,
EC1330,Linear Algebra,1,,,,,,,
EC1380,Introduction to Environmental Economics,1,,,,,,,
EC2010,Macroeconomics 2,1,,,,,,,
EC2020,Microeconomics 2,1,,,,,,,
EC2030,Applied Econometrics,1,,,,,,,
EC2030,Economic and Social Statistics,1,,,,,,,
EC2040,Economics 2,1,,,,,,,
EC2050,Development Economics:Macroeconomics,1,,,,,,,
EC2080,Industrial Economics 1: Market Structure,1,,,,,,,
EC2200,Mathematical Economics 1a,1,,,,,,,
EC2210,Mathematical Economics 1b,1,,,,,,,
EC2240,War and Economy in the Twentieth Century,4,,,,,,,
EC2260,Econometrics 1,1,,,,,,,
EC2280,Collective Decisions,4,,,,,,,
EC2290,Economics of Strategy,1,,,,,,,
EC2300,Economics of Money and Banking,1,,,,,,,
EC2310,Industrial Economics 1: Strategic Behaviour,1,,,,,,,
EC2330,Development Economics: Microeconomics,1,,,,,,,
EC2390,Economics 2: Macroeconomics 1,1,,,,,,,
EC3010,Mathematical Economics 2,1,,,,,,,
EC3030,The British Economy in the 20th Century,5,,,,,,,
EC3040,Making of Economic Policy,1,,,,,,,
EC3040,Making of Economic Policy,2,,,,,,,
EC3060,Econometrics 2: Time Series,1,,,,,,,
EC3070,Macroeconomic Policy in the EU,5,,,,,,,
EC3100,Topics in Development Economics,5,,,,,,,
EC3120,International Economics,1,,,,,,,
EC3130,The International Economic System since 1918,5,,,,,,,
EC3140,Topics in Economic Theory,5,,,,,,,
EC3180,Labour Economics,5,,,,,,,
EC3200,Economics of Public Policy,5,,,,,,,
EC3330,Topics in Financial Economics: Theory & Intl Pract,1,,,,,,,
EC3340,Topics in Financial Economics: Corp Fin & Mkts,1,,,,,,,
EC3350,Managerial Economics,5,,,,,,,
EC3360,International Trade,5,,,,,,,
EC3370,Industrial Economics 2,1,,,,,,,
EC3380,Econometrics 2: Microeconometrics,1,,,,,,,
EC3400,Topics in Applied Economics,1,,,,,,,
EC3450,Behavioural Economics: Theory and Applications,1,,,,,,,
EN1010,Epic into Novel,3,these are all humanities. ,,,,,,
EN1230,Literature in the Modern World,3,,,,,,,
EN2010,The European Novel,3,,,,,,,
EN3870,Queering the Literacy Landscape,3,,,,,,,
EN3930,Advanced Screenwriting,3,,,,,,,
EQ1010,Contemporary Educational Issues,3,,,,,,,
EQ1040,International Education,3,,,,,,,
EQ1050,Social Contexts of Childhood and Education,3,,,,,,,
EQ2040,Work based placement,4,,,,,,,
EQ2120,Education and Social Justice,2,,,,,,,
EQ3070,"Race, Ethnics and Education",2,,,,,,,
