ID_anonym,IMD_Quintile,WP1_InCare_n_J,WP2_GCSE_both_n_J,WP3_FSM_n_J,WP4_LPN_n_J,WP5_1stGen_n_J,WP6_SEC_J,WP7_IMD_J,wp_sum_J,wp_ind_J
45597199,NA,0,NA,NA,NA,0,0,0,0,0
45596862,NA,0,NA,NA,NA,0,0,0,0,0
45596829,NA,0,NA,NA,NA,0,0,0,0,0
45596665,NA,0,NA,NA,NA,0,0,0,0,0
45596626,5,0,NA,NA,0,1,0,0,1,0
45596604,NA,0,NA,NA,NA,0,0,0,0,0
45596496,4,0,0,0,0,1,0,0,1,0
45596493,1,0,1,0,0,1,1,1,4,1
45596399,4,0,1,0,0,0,0,0,1,0
45596381,NA,0,NA,NA,NA,0,0,0,0,0
45596100,NA,0,NA,NA,NA,0,0,0,0,0
45596029,5,0,0,0,0,0,0,0,0,0
45595486,NA,0,NA,NA,NA,0,0,0,0,0
45595485,NA,0,NA,NA,NA,0,0,0,0,0
45595005,1,0,0,0,0,0,0,1,1,0
45594972,NA,0,NA,NA,NA,0,0,0,0,0
45594936,NA,0,NA,NA,NA,0,0,0,0,0
45594316,5,0,0,0,0,1,0,0,1,0
45594167,NA,0,NA,NA,NA,0,0,0,0,0
45593929,4,0,NA,NA,0,1,0,0,1,0
45593506,5,0,NA,NA,0,0,0,0,0,0
45592681,NA,0,NA,NA,NA,0,0,0,0,0
45592578,NA,0,NA,NA,NA,0,0,0,0,0
45592351,4,0,NA,NA,0,1,0,0,1,0
45592295,NA,0,NA,NA,NA,0,0,0,0,0
45592227,NA,0,NA,NA,NA,0,0,0,0,0
45591950,NA,0,NA,NA,NA,0,0,0,0,0
45591866,2,0,1,0,0,0,1,1,3,1
45591694,3,0,0,0,0,1,0,0,1,0
45591681,NA,0,NA,NA,NA,0,0,0,0,0
45590748,NA,0,NA,NA,NA,0,0,0,0,0
45590725,NA,0,NA,NA,NA,0,0,0,0,0
45590676,NA,0,NA,NA,NA,0,0,0,0,0
45590314,NA,0,NA,NA,NA,0,0,0,0,0
45590227,NA,0,NA,NA,NA,0,0,0,0,0
45590198,NA,0,NA,NA,NA,0,0,0,0,0
45590145,NA,0,NA,NA,NA,0,0,0,0,0
45590123,NA,0,NA,NA,NA,0,0,0,0,0
45590064,NA,0,NA,NA,NA,0,0,0,0,0
45589785,5,0,NA,NA,0,1,0,0,1,0
45589760,NA,0,NA,NA,NA,0,0,0,0,0
45589631,NA,0,NA,NA,NA,0,0,0,0,0
45589624,NA,0,NA,NA,NA,0,0,0,0,0
45589460,2,0,NA,NA,0,0,0,1,1,0
45589451,NA,0,NA,NA,NA,0,0,0,0,0
45589150,4,0,1,0,0,0,0,0,1,0
45588573,NA,0,NA,NA,NA,0,0,0,0,0
45588431,4,0,0,0,0,1,0,0,1,0
45588273,NA,0,NA,NA,NA,0,0,0,0,0
45588252,NA,0,NA,NA,NA,0,0,0,0,0
45588111,NA,0,NA,NA,NA,0,0,0,0,0
45587371,NA,0,NA,NA,NA,0,0,0,0,0
45586818,NA,0,NA,NA,NA,0,0,0,0,0
45586776,3,0,NA,NA,0,1,0,0,1,0
45586708,5,0,1,1,0,0,0,0,2,1
45586552,3,0,0,0,0,0,0,0,0,0
45586503,NA,0,NA,NA,NA,0,0,0,0,0
45586482,3,0,0,1,0,0,1,0,2,1
45586411,NA,0,NA,NA,NA,0,0,0,0,0
45586388,NA,0,NA,NA,NA,0,0,0,0,0
45586331,NA,0,1,0,NA,0,0,0,1,0
45586283,5,0,NA,NA,0,1,0,0,1,0
45586267,NA,0,NA,NA,NA,0,0,0,0,0
45586166,1,0,0,0,0,0,0,1,1,0
45586143,NA,0,NA,NA,NA,0,0,0,0,0
45586134,4,0,0,0,0,0,0,0,0,0
45586048,NA,0,NA,NA,NA,0,0,0,0,0
45586041,NA,0,NA,NA,NA,0,0,0,0,0
45585955,NA,0,NA,NA,NA,0,0,0,0,0
45585938,NA,0,NA,NA,NA,0,0,0,0,0
45585907,NA,0,NA,NA,NA,0,0,0,0,0
45585852,4,0,0,0,0,1,0,0,1,0
45585790,1,0,1,0,0,0,1,1,3,1
45585655,NA,0,NA,NA,NA,0,0,0,0,0
45585521,1,0,1,1,0,0,1,1,4,1
45585470,1,0,0,1,0,0,0,1,2,1
45585429,2,0,0,0,0,1,0,1,2,1
45585361,2,0,0,0,0,0,0,1,1,0
45585337,NA,0,NA,NA,NA,0,0,0,0,0
45585328,NA,0,NA,NA,NA,0,0,0,0,0
45585322,3,0,0,0,0,0,1,0,1,0
45585183,NA,0,NA,NA,0,1,0,0,1,0
45585181,4,0,0,0,0,0,0,0,0,0
45585161,5,0,1,0,0,1,0,0,2,1
45585095,3,0,0,0,0,1,0,0,1,0
45585038,NA,0,NA,NA,NA,0,0,0,0,0
45585022,5,0,0,0,0,1,0,0,1,0
45585003,NA,0,NA,NA,NA,0,0,0,0,0
45584895,1,0,0,0,0,0,0,1,1,0
45584853,NA,0,NA,NA,NA,0,0,0,0,0
45584849,NA,0,NA,NA,NA,0,0,0,0,0
45584708,5,0,NA,NA,0,1,0,0,1,0
45584707,4,0,NA,NA,0,0,0,0,0,0
45584647,NA,0,NA,NA,NA,0,0,0,0,0
45584625,2,0,0,0,0,1,0,1,2,1
45584579,NA,0,NA,NA,NA,0,0,0,0,0
45584485,4,0,NA,NA,0,1,0,0,1,0
45584483,4,0,0,0,0,0,1,0,1,0
45584116,5,0,NA,NA,0,1,0,0,1,0
45584104,3,0,NA,NA,0,0,1,0,1,0
45583980,4,0,0,0,0,0,0,0,0,0
45583973,5,0,0,0,0,1,0,0,1,0
45583924,NA,0,NA,NA,NA,0,0,0,0,0
45583888,NA,0,NA,NA,NA,0,0,0,0,0
45583874,NA,0,NA,NA,NA,0,0,0,0,0
45583871,NA,0,NA,NA,NA,0,0,0,0,0
45583750,5,0,NA,NA,0,1,0,0,1,0
45583671,NA,0,NA,NA,NA,0,0,0,0,0
45583628,4,0,1,0,0,0,0,0,1,0
45583607,NA,0,NA,NA,NA,0,0,0,0,0
45583594,NA,0,NA,NA,NA,0,0,0,0,0
45583401,NA,0,NA,NA,NA,0,0,0,0,0
45583399,NA,0,NA,NA,0,0,0,0,0,0
45583355,NA,0,NA,NA,NA,0,0,0,0,0
45583136,5,0,1,0,0,0,0,0,1,0
45583118,NA,0,NA,NA,NA,0,0,0,0,0
45583041,NA,0,NA,NA,NA,0,0,0,0,0
