ID_anonym,FY_startyear,STAGE_DESCRIPTION,STATUS_DESCRIPTION,AWARDSform_n,WP1_InCare_n,WP2_GCSE_both_n,WP3_FSM_n,WP4_LPN_n,WP5_1stGen_n,WP2_GCSE_n,WP2_schoolbottom_n,Polar3_Young_HE_Participation_Quintile,POLAR4_Young_HE_Participation_Quintile,LowSEC_Flag,LPN_Quintile,IMD_Quintile,WP_ALP_Flag,WP_FSM_Flag,WP_GCSE_Flag,InCare_Flag,ParentInHE_Flag,wp_sum,wp_sum_with_awards,wp_index
45476737,2017-2018,Completed,All work completed,0,0,1,1,0,0,NA,NA,3,NA,Y,3,1,N,N,N,No,Yes,2,2,Low
45465811,2017-2018,Completed,All work completed,0,0,0,1,0,1,NA,NA,5,NA,N,5,3,N,N,N,No,No,2,2,Low
45475992,2017-2018,Completed,All work completed,0,0,1,0,1,0,NA,NA,1,NA,N,1,2,N,N,N,Unanswered,Unanswered,2,2,Low
45465818,2017-2018,Completed,All work completed,0,0,1,1,0,0,NA,NA,3,NA,N,3,4,N,Y,Y,No,Yes,2,2,Low
45478370,2017-2018,Completed,All work completed,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,High
45464177,2017-2018,Completed,All work completed,0,0,1,1,0,0,NA,NA,3,NA,N,3,3,N,Y,Y,No,Not known,2,2,Low
45464643,2017-2018,Completed,All work completed,0,0,1,0,0,1,NA,NA,3,NA,N,3,2,NA,NA,NA,No,No,2,2,Low
45384254,2018-2019,Left,Forced Withdrawn,NA,0,0,0,1,1,0,0,1,NA,Y,3,5,NA,NA,NA,No,No,2,2,Low
45369489,2018-2019,Completed,All work completed,NA,0,1,0,1,0,0,1,3,NA,N,3,1,Y,"NA","NA",Unanswered,Unanswered,2,2,Low
45464528,2018-2019,Completed,All work completed,NA,0,1,0,1,0,1,1,5,NA,N,5,1,NA,NA,NA,No,Yes,2,2,Low
45368526,2018-2019,Completed,All work completed,NA,0,0,0,1,1,0,0,1,NA,Y,1,2,NA,NA,NA,No,No,2,2,Low
45373862,2018-2019,Completed,All work completed,NA,0,1,1,0,0,1,1,3,NA,N,3,2,N,Y,Y,No,No,2,2,Low
45373139,2018-2019,Completed,All work completed,NA,0,0,0,1,1,0,0,1,NA,Y,1,4,N,N,"NA",No,No,2,2,Low
