ID_anonym,Intake_Year,IMD_Quintile,WP1_InCare_n_J,WP2_GCSE_both_n_J,WP3_FSM_n_J,WP4_LPN_n_J,WP5_1stGen_n_J,WP6_SEC_J,WP7_IMD_J,wp_sum_J,wp_ind_J
45868736,13/14,3,0,NA,NA,0,0,0,0,0,0
45868735,13/14,NA,0,NA,NA,NA,0,0,0,0,0
45844464,14/15,3,0,NA,NA,0,0,0,0,0,0
45843622,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45842451,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45840482,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45840340,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45839442,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45838660,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45837972,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45836951,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45836611,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45834773,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45833222,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45832902,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45832645,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45832578,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45831313,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45831179,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45831171,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45830743,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45830658,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45830595,16/17,NA,0,NA,NA,NA,0,0,0,0,0
45797414,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45797316,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45797194,14/15,3,0,NA,NA,0,0,0,0,0,0
45797018,14/15,5,0,0,0,0,1,0,0,1,0
45796833,14/15,5,0,NA,NA,0,1,0,0,1,0
45796631,15/16,3,0,0,0,0,0,0,0,0,0
45796615,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45796480,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45796379,14/15,5,0,0,0,0,1,0,0,1,0
45796231,16/17,5,0,NA,NA,0,1,0,0,1,0
45796112,14/15,4,0,NA,NA,0,1,0,0,1,0
45795872,15/16,5,0,0,0,0,0,0,0,0,0
45795624,14/15,5,0,0,0,0,0,0,0,0,0
45795596,15/16,5,0,NA,NA,0,0,0,0,0,0
45795463,14/15,NA,0,NA,NA,NA,0,1,0,1,0
45795456,14/15,1,0,0,0,1,0,0,1,2,1
45795245,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45794916,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45794821,14/15,5,0,NA,NA,0,1,0,0,1,0
45794797,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45794543,14/15,4,0,NA,NA,0,0,0,0,0,0
45794510,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45794101,15/16,5,0,NA,NA,0,1,0,0,1,0
45793486,14/15,1,0,0,0,0,0,1,1,2,1
45793485,14/15,4,0,NA,NA,0,1,0,0,1,0
45793432,14/15,4,0,NA,NA,0,0,0,0,0,0
45793198,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45793068,14/15,3,0,NA,NA,0,0,0,0,0,0
45792705,14/15,NA,0,0,0,NA,0,0,0,0,0
45792635,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45792631,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45792513,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45792459,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45792403,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45791931,15/16,3,0,1,1,0,0,1,0,3,1
45791794,14/15,3,0,0,0,0,0,0,0,0,0
45791670,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45791567,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45791494,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45791488,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45791356,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45790776,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45790458,14/15,4,0,0,0,0,1,0,0,1,0
45789850,14/15,NA,0,NA,NA,NA,0,NA,0,0,0
45789631,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45789399,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45789195,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45788296,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45788199,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45788120,14/15,3,0,0,0,0,1,0,0,1,0
45788084,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45787732,14/15,2,0,0,0,0,0,0,1,1,0
45787499,15/16,2,0,1,0,0,0,1,1,3,1
45787445,14/15,4,0,0,0,0,0,1,0,1,0
45787432,14/15,5,0,0,0,0,1,0,0,1,0
45786933,14/15,2,0,NA,NA,0,0,0,1,1,0
45786884,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45786761,14/15,5,0,NA,NA,0,1,0,0,1,0
45786690,14/15,3,0,0,0,0,0,0,0,0,0
45786648,14/15,4,0,0,0,0,1,0,0,1,0
45786583,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45786575,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45786489,16/17,3,0,NA,NA,0,0,0,0,0,0
45786486,14/15,2,0,0,0,0,0,0,1,1,0
45786412,14/15,2,0,0,0,0,0,0,1,1,0
45786232,14/15,1,0,0,0,0,0,0,1,1,0
45786144,14/15,4,0,0,1,0,0,1,0,2,1
45786042,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45785758,14/15,3,0,0,0,0,1,0,0,1,0
45785697,14/15,NA,0,1,0,NA,0,0,0,1,0
45785667,14/15,5,0,0,0,0,1,1,0,2,1
45785664,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45785628,14/15,3,0,0,0,0,1,1,0,2,1
45785608,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45785563,15/16,5,0,NA,NA,0,1,0,0,1,0
45785548,14/15,5,0,NA,NA,0,0,0,0,0,0
45785484,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45785471,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45785462,14/15,2,0,0,0,0,0,1,1,2,1
45785436,14/15,5,0,NA,NA,0,0,0,0,0,0
45785416,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45785410,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45785390,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45785353,14/15,5,0,0,0,0,1,0,0,1,0
45785204,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45785130,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45785107,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45785073,14/15,4,0,0,0,0,0,0,0,0,0
45784983,14/15,3,0,0,0,0,0,1,0,1,0
45784928,14/15,3,0,NA,NA,0,1,0,0,1,0
45784925,14/15,4,0,0,0,0,0,0,0,0,0
45784880,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784819,14/15,5,0,NA,NA,0,0,0,0,0,0
45784763,14/15,3,0,0,0,0,1,1,0,2,1
45784759,14/15,5,0,0,0,0,0,1,0,1,0
45784722,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784701,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784677,14/15,5,0,0,0,0,0,0,0,0,0
45784624,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784585,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784546,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784500,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784498,14/15,4,0,NA,NA,0,0,0,0,0,0
45784461,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784459,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784458,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784265,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784255,14/15,NA,0,NA,NA,0,1,0,0,1,0
45784252,14/15,4,0,NA,NA,1,1,0,0,2,1
45784219,14/15,5,0,0,0,0,1,0,0,1,0
45784200,14/15,3,0,0,1,0,0,0,0,1,0
45784180,14/15,2,0,NA,NA,0,1,0,1,2,1
45784138,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784086,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784082,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45784025,14/15,NA,0,NA,NA,0,1,0,0,1,0
45783965,14/15,3,0,0,0,0,1,0,0,1,0
45783876,14/15,5,0,NA,NA,0,0,0,0,0,0
45783860,14/15,3,0,0,0,0,0,1,0,1,0
45783815,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45783771,14/15,4,0,0,0,0,1,0,0,1,0
45783701,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45783628,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45783624,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45783601,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45783420,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45783413,14/15,4,0,NA,NA,0,1,0,0,1,0
45783387,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45783384,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45783350,16/17,5,0,0,0,0,0,0,0,0,0
45783279,14/15,5,0,NA,NA,0,0,0,0,0,0
45783158,15/16,3,0,NA,NA,0,1,0,0,1,0
45783149,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45783098,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45783031,14/15,5,0,0,0,0,0,0,0,0,0
45783010,14/15,5,0,1,0,0,1,0,0,2,1
45782964,14/15,3,0,NA,NA,0,0,0,0,0,0
45782855,14/15,4,0,NA,NA,0,1,0,0,1,0
45782809,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45782781,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45782774,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45782751,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45782748,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45782677,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45782634,15/16,NA,0,NA,NA,NA,0,0,0,0,0
45782625,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45782614,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45782599,14/15,5,0,0,0,0,0,0,0,0,0
45782488,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45782483,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45782437,14/15,1,0,0,0,1,0,1,1,3,1
45782291,14/15,5,0,0,0,0,1,0,0,1,0
45782284,14/15,NA,0,NA,NA,0,1,0,0,1,0
45782200,14/15,NA,0,1,0,NA,0,0,0,1,0
45782179,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45782021,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45781975,14/15,5,0,NA,NA,0,1,0,0,1,0
45781921,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45781872,14/15,5,0,NA,NA,0,1,0,0,1,0
45781846,14/15,4,0,NA,NA,0,1,0,0,1,0
45781837,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45781801,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45781705,14/15,4,0,NA,NA,0,1,0,0,1,0
45781697,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45781677,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45781640,15/16,NA,0,NA,NA,NA,0,0,0,0,0
45781612,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45781579,14/15,5,0,0,0,0,1,1,0,2,1
45781527,14/15,NA,0,1,0,NA,0,0,0,1,0
45781454,15/16,NA,0,1,0,NA,0,0,0,1,0
45781354,14/15,3,0,NA,NA,0,0,0,0,0,0
45781105,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45781044,15/16,NA,0,NA,NA,NA,0,0,0,0,0
45781036,14/15,4,0,0,0,0,0,0,0,0,0
45781016,14/15,5,0,0,1,0,1,0,0,2,1
45780933,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45780818,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45780690,14/15,5,0,0,0,0,0,1,0,1,0
45780626,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45780610,14/15,2,0,1,0,0,0,0,1,2,1
45780580,15/16,1,0,NA,NA,1,0,1,1,3,1
45780552,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45780397,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45780373,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45780311,14/15,5,0,NA,NA,0,0,0,0,0,0
45780211,15/16,5,0,NA,NA,0,0,0,0,0,0
45780132,14/15,1,0,NA,NA,0,0,0,1,1,0
45780114,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45780077,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45780072,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45779990,15/16,1,0,NA,NA,0,0,0,1,1,0
45779955,14/15,NA,0,NA,NA,NA,0,0,0,0,0
45779901,15/16,NA,0,NA,NA,NA,0,0,0,0,0
