ID_anonym,ind_WBS_Scholarship,Award,Course,Current stage,Award_type,ind_Warwick_Scholar,Access Programme 1,Access Programme 2,"Receipt of Bursary
(2K unless stated)",50% Fees?,UG Dept / Subject of Study,Start year,WP Criteria (WS Access Only),ind_Contextual_Offer,Year,CAP_CYCL,CAP_AYRC,CAP_UDF1,CAP_UDFF,ID_dup
45181898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,N,N,Y,X,Y",FALSE
45159256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"N,X,N,Y,Y,Y",FALSE
45159633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,N,N,Y,Y,Y",FALSE
45150024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"N,Y,N,Y,X,Y",FALSE
45154647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,Y,N,Y,X,Y",FALSE
45157370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"N,N,N,Y,Y,Y",FALSE
45158468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"X,Y,N,X,Y,Y",FALSE
45154308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,Y,N,Y,X,Y",FALSE
45143376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,N,N,Y,Y,Y",FALSE
45135079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2020,2020,20/21,NA,"Y,Y,N,Y,X,Y",FALSE
45281759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,REAL OPP,Y,FALSE
45288648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45282964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45357692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45288336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45368306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45279953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
45278139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2019,2019,19/20,NA,Y,FALSE
