"","ID_anonym","NATIONALITY","ACRONYM.FY.","STARTYEAR.FY.","CURRENTSTAGE.FY.","STAGE_DESCRIPTION.FY.","CURRENTSTATUS.FY.","STATUS_DESCRIPTION.FY.","ACRONYM","STARTYEAR","CURRENTSTAGE","STAGE_DESCRIPTION","CURRENTSTATUS","STATUS_DESCRIPTION","wp_INDEX","WP_ALP_Flag.J.","WP_FSM_Flag.J.","WP_GCSE_Flag.J.","LPN_Quintile.J.","LowSEC_Flag.J.","ParentInHE_Flag.J.","InCare_Flag.J."
"85",45573189,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","MNI","2016-2017","3","Stage 3","F","Full",1,"N","N","Y",4,"N",NA,"No"
"86",45573459,NA,"FY","2016-2017","L","Left","C","Voluntarily Withdrawn",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,"N","No","No"
"87",45573726,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","MN","2016-2017","3","Stage 3","F","Full",3,"Y",NA,NA,2,"Y",NA,"No"
"88",45574873,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","MN","2017-2018","3","Stage 3","F","Full",1,"N","N","N",4,"Y",NA,"No"
"89",45575485,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","MN","2016-2017","3","Stage 3","F","Full",2,"N","N","N",3,"N","Not known","Yes"
"90",45575514,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","MNM","2016-2017","3","Stage 3","F","Full",2,NA,NA,NA,1,"N","Not known","No"
"91",45576803,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","AF","2016-2017","3","Stage 3","F","Full",2,NA,NA,NA,5,"Y","No","No"
"92",45577875,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","AF","2016-2017","L","Left","C","Voluntarily Withdrawn",2,"N","Y","N",5,"N","No","No"
"93",45579195,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","MN","2016-2017","2","Stage 2","5","UG Resit WO Res",0,NA,NA,NA,4,"N",NA,"No"
"94",45579369,NA,"FY","2016-2017","L","Left","C","Voluntarily Withdrawn",NA,NA,NA,NA,NA,NA,3,"N","N","N",5,"Y","No","Yes"
"95",45579444,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","MNM","2016-2017","3","Stage 3","F","Full",3,"Y",NA,NA,1,"N",NA,"No"
"96",45579448,"British (ex. Channel Islands & Isle of Man)","FY","2016-2017","X","Completed","K","All work completed","AF","2016-2017","L","Left","C","Voluntarily Withdrawn",4,"N","Y","Y",5,"Y","No","No"
